dataset,dataset_key,seed,method,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,p99_m,cvar90_m,cvar95_m,max_m,mae_x_m,mae_y_m,within_1m,within_3m,within_5m,within_10m,floor_accuracy,building_accuracy
Tampere,tampere,11,PCA-WKNN,6.617959050396149,6.01919131361677,7.749439741397781,9.046517006229497,12.347607058072951,14.130955210535742,17.549018405042517,14.864870190957866,16.440932595361666,21.91133558628312,4.063398618052817,4.388957706228665,0.031568228105906315,0.20570264765784113,0.40122199592668023,0.8085539714867617,,
Tampere,tampere,11,ExtraTrees,7.795217127655483,7.274470962389353,9.075553462462276,10.734189717949226,13.867088664864836,16.061678731289927,21.285081613185422,17.02555169246933,19.243081065233454,30.751463894583484,4.902272248122454,5.031941009529253,0.020366598778004074,0.164969450101833,0.32484725050916496,0.6975560081466395,,
Tampere,tampere,11,DNNBN-reimpl,7.135671615600586,6.335953712463379,8.393487930297852,9.968998193740845,12.858055591583252,14.943176889419544,20.93666011810301,16.05095863342285,18.388038635253906,28.84514617919922,4.869558334350586,4.238271713256836,0.019348268839103868,0.17820773930753564,0.38391038696537677,0.7535641547861507,0.8981670061099797,1.0
Tampere,tampere,11,CNN-RSS-reimpl,13.445867538452148,11.624885559082031,16.1431884765625,17.53750705718994,25.41749095916748,31.156455326080316,42.77315868377681,33.09458541870117,37.798301696777344,53.29823303222656,9.448866844177246,7.641120433807373,0.009164969450101833,0.06822810590631365,0.1395112016293279,0.39918533604887985,0.6680244399185336,1.0
Tampere,tampere,11,AaT-base-reimpl,9.52291202545166,9.08172607421875,10.920206069946289,12.685081720352173,16.425654792785643,19.689581298828106,25.384770259857174,20.362295150756836,22.888593673706055,27.79031753540039,6.187426567077637,5.892040252685547,0.013238289205702648,0.10488798370672098,0.22912423625254583,0.5661914460285132,0.8279022403258656,1.0
Tampere,tampere,11,RC-Direct,7.094640731811523,6.434114456176758,8.284568786621094,10.025503873825073,13.151710319519042,14.645431995391844,18.008689880371083,15.262263298034668,16.699609756469727,21.48491668701172,4.592855930328369,4.4808149337768555,0.029531568228105907,0.20162932790224034,0.3696537678207739,0.7474541751527495,0.9134419551934827,1.0
Tampere,tampere,11,RC-Loc,6.95001148756946,6.320889939022937,8.08713514196308,9.82156559592797,12.750068729903038,14.079661536064112,17.68422390517103,14.907192412981194,16.35900619934377,21.484917099236526,4.470805370756538,4.429980638504968,0.0274949083503055,0.1945010183299389,0.3727087576374745,0.7637474541751528,0.9134419551934827,1.0
Tampere,tampere,22,PCA-WKNN,6.73794911031594,5.746360503786203,8.085418296900267,9.717259659375511,13.081277808061518,15.548641714446292,18.740780873827728,15.950137423833905,17.539212507093794,22.81701528568984,4.235275325486525,4.439663584504346,0.034623217922606926,0.23014256619144602,0.4256619144602851,0.7739307535641547,,
Tampere,tampere,22,ExtraTrees,8.638517137011481,7.739874203326527,10.386632753656466,11.77522370164956,16.350980792734134,19.58979541481143,24.38916492484682,20.603557045658984,23.49423091018769,43.98011668483577,5.485378910227851,5.49220155586455,0.020366598778004074,0.15885947046843177,0.3105906313645621,0.6527494908350305,,
Tampere,tampere,22,DNNBN-reimpl,8.4201078414917,7.6588335037231445,9.821672439575195,11.167728424072266,14.733146953582763,17.03184118270874,23.46373819351191,18.701696395874023,21.59838104248047,41.81971740722656,4.804954528808594,5.901277542114258,0.014256619144602852,0.10692464358452139,0.280040733197556,0.6720977596741344,0.8920570264765784,1.0
Tampere,tampere,22,CNN-RSS-reimpl,12.543395042419434,10.857501983642578,15.070613861083984,17.334113121032715,24.321166229248046,27.99514980316162,37.73784851074216,30.10334587097168,34.135780334472656,45.752559661865234,8.76894474029541,7.2345123291015625,0.012219959266802444,0.07942973523421588,0.17209775967413443,0.45417515274949083,0.5885947046843177,1.0
Tampere,tampere,22,AaT-base-reimpl,8.552351951599121,7.773702621459961,9.744976997375488,11.770488023757935,15.18746747970581,17.08694019317625,20.289106674194315,17.545907974243164,19.0808048248291,23.23537254333496,5.467752456665039,5.349158763885498,0.010183299389002037,0.11812627291242363,0.2545824847250509,0.6456211812627292,0.8095723014256619,1.0
Tampere,tampere,22,RC-Direct,7.042200088500977,6.299671649932861,8.235488891601562,9.679972887039185,13.202486801147458,15.339497947692868,19.32892887115478,15.716233253479004,17.272645950317383,21.262577056884766,4.338593482971191,4.619800090789795,0.032586558044806514,0.1894093686354379,0.36761710794297353,0.774949083503055,0.9185336048879837,1.0
Tampere,tampere,22,RC-Loc,7.036752322151911,6.382389115293092,8.201431400004855,9.805895363356946,12.863106490505205,14.941509396493453,18.618960331335373,15.426284146189063,17.034121869560625,21.989414139753297,4.268859725747192,4.691825003472939,0.025458248472505093,0.19653767820773932,0.37372708757637474,0.7637474541751528,0.9185336048879837,1.0
Tampere,tampere,33,PCA-WKNN,7.108933036211241,6.332336716491929,8.346452229643882,9.940502647009415,13.201429984724662,15.07497946301473,19.036355700845892,15.874578924176147,17.753812454438606,28.211942336797303,4.542504157337589,4.634803461304252,0.024439918533604887,0.18737270875763748,0.37169042769857435,0.7525458248472505,,
Tampere,tampere,33,ExtraTrees,8.00729478114362,7.537913372072397,9.362595334002943,10.832295364389712,14.76835355210631,17.104067534027546,21.888032998613795,17.841500852519946,19.655595058785476,29.18112763920313,4.927180757542006,5.298924583906393,0.028513238289205704,0.1446028513238289,0.3065173116089613,0.7077393075356415,,
Tampere,tampere,33,DNNBN-reimpl,8.091700553894043,7.52276611328125,9.202351570129395,10.65074110031128,13.910012054443357,16.04342851638793,19.352316856384267,16.69283103942871,18.47599983215332,31.30001449584961,5.355973243713379,4.8408308029174805,0.008146639511201629,0.10896130346232179,0.28716904276985744,0.6843177189409368,0.9022403258655805,1.0
Tampere,tampere,33,CNN-RSS-reimpl,13.17332649230957,11.053208351135254,15.919357299804688,17.428927421569824,26.27006092071533,30.477083110809318,38.16881061553952,32.25056838989258,36.24769592285156,51.208221435546875,9.353363990783691,7.5936079025268555,0.01120162932790224,0.0824847250509165,0.17617107942973523,0.4439918533604888,0.6629327902240326,1.0
Tampere,tampere,33,AaT-base-reimpl,9.306756019592285,8.687932968139648,10.680342674255371,12.65077805519104,15.893590450286865,18.37612924575805,25.674337539672834,19.7392520904541,22.339845657348633,29.942630767822266,5.664605617523193,6.06395959854126,0.007128309572301426,0.09266802443991853,0.23828920570264767,0.5814663951120163,0.8818737270875764,1.0
Tampere,tampere,33,RC-Direct,7.292588710784912,6.5138258934021,8.497994422912598,10.409956932067871,13.616537761688228,15.183943557739255,17.866956882476803,15.688182830810547,16.900400161743164,23.614402770996094,4.521795272827148,4.740221977233887,0.0274949083503055,0.1924643584521385,0.3594704684317719,0.7260692464358453,0.9215885947046843,1.0
Tampere,tampere,33,RC-Loc,7.074607460187451,6.463873316170684,8.304920542579518,10.011457991488468,13.133424998254139,15.002668057070464,17.90203075312695,15.52022765784704,16.976105673766003,26.028715539336243,4.496104542593374,4.48629792260602,0.034623217922606926,0.20366598778004075,0.3869653767820774,0.7484725050916496,0.9215885947046843,1.0
Tampere,tampere,44,PCA-WKNN,6.716645907515186,6.24761142079077,7.749802954789253,9.160129422229469,11.938869852894177,13.670172373647256,17.256843927548584,14.308813805340236,15.908216325860986,22.51938838672933,4.0628993673345315,4.5929516374065145,0.020366598778004074,0.18228105906313646,0.384928716904277,0.8085539714867617,,
Tampere,tampere,44,ExtraTrees,8.011736908305606,7.719279187110343,9.546635838518082,10.624778938232263,14.132250932394406,17.505132054897295,23.889947137020748,18.78978851774353,21.940312143356344,33.90292853167851,4.887581247613289,5.31557568799373,0.025458248472505093,0.1629327902240326,0.3411405295315682,0.6955193482688391,,
Tampere,tampere,44,DNNBN-reimpl,7.757227897644043,7.145336151123047,8.977550506591797,10.6852548122406,14.111732387542723,16.076479721069333,19.515651378631585,16.751253128051758,18.5338077545166,27.842309951782227,4.979298114776611,4.908411026000977,0.018329938900203666,0.14562118126272913,0.3258655804480652,0.7138492871690427,0.8665987780040734,1.0
Tampere,tampere,44,CNN-RSS-reimpl,12.913252830505371,11.488988876342773,15.154773712158203,17.02881622314453,23.5544786453247,27.63396892547607,37.02040267944336,29.494773864746094,33.533119201660156,53.13667678833008,8.779983520507812,7.60870885848999,0.007128309572301426,0.06008146639511202,0.1446028513238289,0.4134419551934827,0.6425661914460286,1.0
Tampere,tampere,44,AaT-base-reimpl,10.242342948913574,9.349443435668945,11.9487886428833,13.889788389205933,18.611776733398436,21.357554817199706,28.832764282226556,22.691238403320312,25.5068416595459,32.84398651123047,7.279764175415039,5.449678421020508,0.013238289205702648,0.10081466395112017,0.225050916496945,0.5386965376782077,0.8503054989816701,1.0
Tampere,tampere,44,RC-Direct,7.151411533355713,6.562338829040527,8.380913734436035,10.200371265411377,13.225335597991942,15.117962694168078,18.50425380706785,15.565467834472656,17.149669647216797,24.121057510375977,4.451896667480469,4.53293514251709,0.0274949083503055,0.1975560081466395,0.3818737270875764,0.7362525458248472,0.9226069246435845,1.0
Tampere,tampere,44,RC-Loc,6.9852615173748225,6.327133127470763,8.157610346286255,9.889727896228116,12.83743979310577,14.43640363403238,18.22176184372386,15.151220525214319,16.68132509306205,24.121058747154198,4.361616612537397,4.427460345884286,0.024439918533604887,0.20264765784114053,0.3879837067209776,0.754582484725051,0.9226069246435845,1.0
Tampere,tampere,55,PCA-WKNN,6.9878024490861375,6.2534933998975335,8.263662991159368,9.720043803496855,13.492975591183997,15.171424455970463,19.432920367797166,15.939435864888967,17.635862154188953,22.043325588774827,4.311345788308627,4.608697235284928,0.032586558044806514,0.20366598778004075,0.384928716904277,0.7718940936863544,,
Tampere,tampere,55,ExtraTrees,8.41796123548008,7.441686380271934,10.358303713491534,11.29144926943418,15.411481709671515,19.54384631954131,28.000360126015245,21.41016350485478,25.61460246202986,46.42868907426869,5.165096177815257,5.571742014875237,0.029531568228105907,0.18024439918533605,0.329938900203666,0.6639511201629328,,
Tampere,tampere,55,DNNBN-reimpl,7.380768299102783,6.709564208984375,8.444594383239746,9.998161792755127,13.443356037139893,14.778675508499145,18.751087379455566,15.512446403503418,16.90907859802246,21.721189498901367,4.664730548858643,4.631791114807129,0.015274949083503055,0.14052953156822812,0.32382892057026474,0.7505091649694501,0.9154786150712831,1.0
Tampere,tampere,55,CNN-RSS-reimpl,13.15652084350586,11.048871994018555,15.83446216583252,17.239306926727295,25.942669105529784,30.90498437881469,40.05920017242426,32.52858352661133,36.95463562011719,50.232582092285156,9.706705093383789,7.051642417907715,0.008146639511201629,0.0560081466395112,0.1446028513238289,0.45010183299389,0.6558044806517311,1.0
Tampere,tampere,55,AaT-base-reimpl,8.97418212890625,8.581525802612305,10.2368803024292,12.204672574996948,15.830625629425048,17.813554763793945,21.156516342163084,18.511423110961914,20.276893615722656,25.46807098388672,5.3450751304626465,6.02398157119751,0.015274949083503055,0.11405295315682282,0.2494908350305499,0.609979633401222,0.8961303462321792,1.0
Tampere,tampere,55,RC-Direct,7.440751075744629,7.029839992523193,8.462790489196777,10.11788821220398,13.189195156097412,14.825680255889882,16.96522121429442,15.049135208129883,16.202415466308594,20.451261520385742,4.567846298217773,4.969415664672852,0.019348268839103868,0.14969450101832993,0.31771894093686354,0.7403258655804481,0.9103869653767821,1.0
Tampere,tampere,55,RC-Loc,7.262982983354813,6.8349420576246915,8.331216995804684,10.208823576125743,12.823121289657035,14.312555019655212,17.599510537758206,14.930870450339178,16.344281272548855,23.971896873505344,4.433052979655692,4.869268843288595,0.021384928716904276,0.1629327902240326,0.34826883910386963,0.7372708757637475,0.9103869653767821,1.0
UJI-Library-25M,uji_library,11,PCA-WKNN,3.1583115040904968,2.860919882100823,3.6994525711177557,4.389540195465088,5.678420370929089,6.64473215182577,8.779079914093018,6.981238965505834,7.831649016611543,11.153754471593235,2.1632228410559025,1.7672222129087418,0.12360256410256411,0.5180384615384616,0.834,0.9992051282051282,,
UJI-Library-25M,uji_library,11,ExtraTrees,2.962718637077609,2.8122095552547988,3.3522966136122743,4.097609460472455,5.1451490259609285,5.698657320663501,6.71679266593414,5.860978759176029,6.317757932977167,9.944749580480869,1.9160828188216685,1.8624989346803356,0.10065384615384615,0.540525641025641,0.8830897435897436,1.0,,
UJI-Library-25M,uji_library,11,DNNBN-reimpl,3.374066114425659,3.045667886734009,3.9984612464904785,4.654872536659241,6.3398582458496096,7.507505035400391,9.492867326736445,7.788888931274414,8.720881462097168,13.124784469604492,2.2224535942077637,2.035339832305908,0.11215384615384616,0.4926025641025641,0.7902948717948718,0.9942051282051282,1.0,1.0
UJI-Library-25M,uji_library,11,CNN-RSS-reimpl,4.135610580444336,3.6789612770080566,4.836533546447754,5.823329567909241,7.746060562133793,8.77610411643982,10.658560581207265,9.068950653076172,9.922385215759277,14.582025527954102,3.0146379470825195,2.1532704830169678,0.07006410256410256,0.3956025641025641,0.6673717948717949,0.9816923076923076,1.0,1.0
