dataset,seed,method,estimator,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,parameters,train_seconds,best_epoch,trained_epochs
UJIIndoorLoc,33,RC-NoCoarseHeads,direct,top20_outage,1111.0,29.07665061950684,13.087882995605469,52.459083557128906,30.3264217376709,76.6790771484375,113.94969177246094,0.0792079207920792,2972146,1014.3396523001138,87,117
UJIIndoorLoc,33,RC-NoCoarseHeads,fused,top20_outage,1111.0,27.898990498414392,12.508669520492944,51.13139364947887,29.14283277352165,72.20775558602669,110.824885758053,0.1008100810081008,2972146,1014.3396523001138,87,117
UJIIndoorLoc,33,RC-NoCoarseHeads,direct,top20_outage_plus_bias4db,1111.0,29.07529067993164,12.898664474487305,52.838844299316406,29.58040714263916,76.2894058227539,114.78265380859376,0.0738073807380738,2972146,1014.3396523001138,87,117
UJIIndoorLoc,33,RC-NoCoarseHeads,fused,top20_outage_plus_bias4db,1111.0,27.985408936153632,12.274130376824578,51.822821275548,29.389679981225672,73.81006346848048,109.7389288030243,0.1071107110711071,2972146,1014.3396523001138,87,117
UJIIndoorLoc,33,RC-NoConsistency,direct,clean,1111.0,8.676374435424805,6.997554302215576,11.381437301635742,11.00807237625122,16.908092498779297,20.628700256347656,0.1566156615661566,2972146,1379.8429425000213,166,196
UJIIndoorLoc,33,RC-NoConsistency,fused,clean,1111.0,8.226605011335442,6.34833774393834,11.312027119335836,10.370189301337064,15.977593410088692,20.175722867415693,0.1926192619261926,2972146,1379.8429425000213,166,196
UJIIndoorLoc,33,RC-NoConsistency,direct,device_offset_-6db,1111.0,8.929122924804688,7.3971781730651855,11.53463077545166,11.053339004516602,16.587665557861328,20.23739719390869,0.1359135913591359,2972146,1379.8429425000213,166,196
UJIIndoorLoc,33,RC-NoConsistency,fused,device_offset_-6db,1111.0,8.610338501868505,6.7740779121382415,11.63572256840872,10.611239657500985,15.971342749688398,21.10357143826097,0.162016201620162,2972146,1379.8429425000213,166,196
UJIIndoorLoc,33,RC-NoConsistency,direct,persistent_bias_8db,1111.0,9.054339408874512,7.311862945556641,11.756811141967772,11.594809532165527,17.221302032470703,21.92946434020996,0.1431143114311431,2972146,1379.8429425000213,166,196
UJIIndoorLoc,33,RC-NoConsistency,fused,persistent_bias_8db,1111.0,8.545641908222422,6.7481620066139385,11.547316548577053,10.946479808678266,16.272911089377725,20.901454449706648,0.1656165616561656,2972146,1379.8429425000213,166,196
