dataset,seed,method,gamma,k,power,blend,val_n,val_mean_m,val_median_m,val_rmse_m,val_p75_m,val_p90_m,val_p95_m,val_within_3m
UTSIndoorLoc,33,RC-NoConsistency,2.0,3,2.0,"('adaptive', 0.15, 2.835073471069336)",1606.0,3.752619222531534,2.934335468937534,4.904964172385368,4.8170012864025775,6.66246606177443,8.221777840132132,0.5130759651307597
UTSIndoorLoc,33,RC-NoCorruption,1.0,7,2.0,"('adaptive', 0.0, 6.597769401313238)",1606.0,4.408604850632023,3.179639137578479,5.941924023904046,4.908929341853627,8.086299108120352,12.024185792981656,0.4464508094645081
UTSIndoorLoc,33,RC-NoMask,1.0,3,1.0,0.7,1606.0,3.889056081127418,2.9705968211659544,5.22713654184801,4.879012811523599,7.116504448169725,10.512657730210346,0.5080946450809465
UTSIndoorLoc,33,RC-NoReconstruction,1.0,3,1.0,0.7,1606.0,3.9374906014575832,2.9877252853309604,5.182133486200406,5.149892981878429,6.932667123043353,9.074865318690028,0.5093399750933998
UTSIndoorLoc,44,RC-NoAugCoord,2.0,11,1.0,"('adaptive', 0.3, 8.340704637866382)",1636.0,4.036580549515766,2.785814206291259,5.374005040779217,4.973754284701277,8.023706898613572,10.963868637336772,0.5415647921760391
UTSIndoorLoc,44,RC-NoCoarseHeads,1.0,7,1.0,"('adaptive', 0.3, 3.279028654098511)",1636.0,4.049465642762518,2.857794225304156,5.234572682451018,5.356841420141258,8.076560713404772,10.39278771963635,0.5250611246943765
UTSIndoorLoc,44,RC-NoConsistency,2.0,11,1.0,"('adaptive', 0.15, 8.617327659214858)",1636.0,4.065780725621412,2.850543797208517,5.393866034742524,4.882424726649439,8.018854728043275,11.594916872623708,0.5275061124694377
UTSIndoorLoc,44,RC-NoCorruption,1.0,3,1.0,"('adaptive', 0.0, 3.8232672214508057)",1636.0,4.188383374017979,2.987589345671635,5.723297549886861,5.057400136766212,9.115608753721975,12.430029737598868,0.5042787286063569
UTSIndoorLoc,44,RC-NoMask,2.0,3,2.0,"('adaptive', 0.3, 2.3908247320836855)",1636.0,3.915484896256631,2.778176519622545,5.091977418639962,5.02154183656409,7.583636830973726,9.714289691953102,0.5397310513447433
UTSIndoorLoc,44,RC-NoReconstruction,1.0,5,2.0,0.85,1636.0,3.911413709470288,2.791770911234302,5.234410004486429,4.939717305995367,8.144382578012454,10.729183942878208,0.5158924205378973
UTSIndoorLoc,55,RC-NoAugCoord,0.5,3,2.0,"('adaptive', 0.15, 3.551074869429445)",1504.0,3.922663699517367,3.051992930767955,4.879436317465916,4.607963667654873,7.863299678299464,10.378579981233903,0.4747340425531915
UTSIndoorLoc,55,RC-NoCoarseHeads,0.25,5,1.0,"('adaptive', 0.3, 3.824762489013156)",1504.0,3.969966290219369,3.001067313702637,4.992564377705829,5.067747727573072,7.817780817837775,9.95305871033018,0.4973404255319149
UTSIndoorLoc,55,RC-NoConsistency,0.0,7,1.0,"('adaptive', 0.3, 1.624051741191317)",1504.0,3.854017734421797,2.8510514115424543,4.902953360511542,5.028234471819486,7.91697133997146,10.083087753770492,0.526595744680851
UTSIndoorLoc,55,RC-NoCorruption,0.5,3,1.0,"('adaptive', 0.15, 3.7252382090058003)",1504.0,4.163345678421031,3.26867791338515,5.191346789737344,5.216075873702226,8.163117904717312,11.221044526481824,0.4128989361702128
UTSIndoorLoc,55,RC-NoMask,0.5,3,2.0,"('adaptive', 0.3, 3.4534757586527123)",1504.0,3.980470253031379,3.0202419525948474,5.1401406341504,4.76303429574339,7.905564791023186,10.771963811824609,0.4886968085106383
UTSIndoorLoc,55,RC-NoReconstruction,0.25,7,1.0,"('adaptive', 0.3, 5.57193477852976)",1504.0,3.9162467194452906,2.917169129233109,4.959202724806405,5.072279925027658,8.330935998808023,9.876922090907891,0.5212765957446809
