dataset,seed,method,scenario,p90_m,mean_m
UTSIndoorLoc,22,RC-NoAugCoord,persistent_bias_8db,12.361798595413116,7.061619655220352
UTSIndoorLoc,22,RC-NoAugCoord,top20_outage,21.64414692525702,11.0813173506011
UTSIndoorLoc,22,RC-NoAugCoord,top20_outage_plus_bias4db,21.59213349739634,11.072642583792604
UTSIndoorLoc,22,RC-NoCoarseHeads,clean,12.378280317715603,7.049915039203262
UTSIndoorLoc,22,RC-NoCoarseHeads,device_offset_-6db,12.022903768355336,7.001872460834146
UTSIndoorLoc,22,RC-NoCoarseHeads,persistent_bias_8db,12.552930744407371,7.04856663810215
UTSIndoorLoc,22,RC-NoCoarseHeads,top20_outage,21.38805426757464,10.662763091337329
UTSIndoorLoc,22,RC-NoCoarseHeads,top20_outage_plus_bias4db,22.05804463661688,10.761182671921617
UTSIndoorLoc,22,RC-NoConsistency,clean,12.433127714607688,7.018964541205264
UTSIndoorLoc,22,RC-NoConsistency,device_offset_-6db,12.663579558490158,7.048315265403279
UTSIndoorLoc,22,RC-NoConsistency,persistent_bias_8db,12.648625634140094,7.118147043135713
UTSIndoorLoc,22,RC-NoConsistency,top20_outage,20.49348047055587,10.824800127742336
UTSIndoorLoc,22,RC-NoConsistency,top20_outage_plus_bias4db,20.479567055142965,10.862360415179936
UTSIndoorLoc,22,RC-NoCorruption,clean,14.367852181761188,7.780570221784157
UTSIndoorLoc,22,RC-NoCorruption,device_offset_-6db,14.717200422458616,8.050286173141888
UTSIndoorLoc,22,RC-NoCorruption,persistent_bias_8db,14.469122359640023,7.778988713700312
UTSIndoorLoc,22,RC-NoCorruption,top20_outage,22.24754058546254,11.232808714985842
UTSIndoorLoc,22,RC-NoCorruption,top20_outage_plus_bias4db,21.707168791216205,11.350069150652557
UTSIndoorLoc,22,RC-NoMask,clean,12.67176630072587,6.990988725008697
UTSIndoorLoc,22,RC-NoMask,device_offset_-6db,13.784593684949709,7.3734760466712785
UTSIndoorLoc,22,RC-NoMask,persistent_bias_8db,12.849069483447948,7.01584510820938
UTSIndoorLoc,22,RC-NoMask,top20_outage,27.169951772186693,12.761014978996633
UTSIndoorLoc,22,RC-NoMask,top20_outage_plus_bias4db,26.821305733818782,12.859986618880017
UTSIndoorLoc,22,RC-NoReconstruction,clean,12.377682271586222,7.0626560579708455
UTSIndoorLoc,22,RC-NoReconstruction,device_offset_-6db,12.84920790485292,6.9779102221191724
UTSIndoorLoc,22,RC-NoReconstruction,persistent_bias_8db,12.866378645338578,7.154943295789299
UTSIndoorLoc,22,RC-NoReconstruction,top20_outage,20.586359159834085,10.238044264556663
UTSIndoorLoc,22,RC-NoReconstruction,top20_outage_plus_bias4db,20.282307433593587,10.360643435416442
UTSIndoorLoc,33,RC-NoAugCoord,clean,12.20810439701151,6.952527029267774
UTSIndoorLoc,33,RC-NoAugCoord,device_offset_-6db,11.744004314578696,6.847302070003196
UTSIndoorLoc,33,RC-NoAugCoord,persistent_bias_8db,12.102921616248272,7.055051690894167
UTSIndoorLoc,33,RC-NoAugCoord,top20_outage,21.002980796708805,10.904947579555726
UTSIndoorLoc,33,RC-NoAugCoord,top20_outage_plus_bias4db,21.52471861872036,10.913799457286643
UTSIndoorLoc,33,RC-NoCoarseHeads,clean,12.00763608389036,6.94985968517134
UTSIndoorLoc,33,RC-NoCoarseHeads,device_offset_-6db,12.292872200314674,6.928818373724503
UTSIndoorLoc,33,RC-NoCoarseHeads,persistent_bias_8db,11.928076365933563,7.001216833080247
UTSIndoorLoc,33,RC-NoCoarseHeads,top20_outage,18.87007641009449,9.827142605345896
