dataset,seed,retain_fraction,p90_m
UJI-Library-25M,11,0.9,5.764511504285298
UJI-Library-25M,11,1.0,5.732429815300211
UJI-Library-25M,22,0.1,4.013407771582713
UJI-Library-25M,22,0.2,4.19379471140126
UJI-Library-25M,22,0.30000000000000004,4.34846647482712
UJI-Library-25M,22,0.4,4.588224798076824
UJI-Library-25M,22,0.5,4.815330713662719
UJI-Library-25M,22,0.6,4.93009985523286
UJI-Library-25M,22,0.7000000000000001,4.954638667499493
UJI-Library-25M,22,0.8,4.91208423781352
UJI-Library-25M,22,0.9,4.888437874131187
UJI-Library-25M,22,1.0,4.906127568406088
UJI-Library-25M,33,0.1,4.345038232226139
UJI-Library-25M,33,0.2,4.302612642798725
UJI-Library-25M,33,0.30000000000000004,4.361474459365009
UJI-Library-25M,33,0.4,4.429783981097306
UJI-Library-25M,33,0.5,4.493897782252021
UJI-Library-25M,33,0.6,4.553971887877674
UJI-Library-25M,33,0.7000000000000001,4.589604578893413
UJI-Library-25M,33,0.8,4.601295125430614
UJI-Library-25M,33,0.9,4.635902707233137
UJI-Library-25M,33,1.0,4.747995968711106
UJI-Library-25M,44,0.1,4.681407499736417
UJI-Library-25M,44,0.2,4.927710895461446
UJI-Library-25M,44,0.30000000000000004,5.0238316276428865
UJI-Library-25M,44,0.4,5.0171005429635
UJI-Library-25M,44,0.5,4.994852277287965
UJI-Library-25M,44,0.6,5.036106297506155
UJI-Library-25M,44,0.7000000000000001,5.0385781932333815
UJI-Library-25M,44,0.8,5.047495466074926
UJI-Library-25M,44,0.9,5.08306306669286
UJI-Library-25M,44,1.0,5.13352196698975
UJI-Library-25M,55,0.1,4.084114127458562
UJI-Library-25M,55,0.2,4.391124206438396
UJI-Library-25M,55,0.30000000000000004,4.569467251531901
UJI-Library-25M,55,0.4,4.693757517429436
UJI-Library-25M,55,0.5,4.828947874751603
UJI-Library-25M,55,0.6,4.909631985240986
UJI-Library-25M,55,0.7000000000000001,4.953981751557788
UJI-Library-25M,55,0.8,5.0064959130422855
UJI-Library-25M,55,0.9,5.046756389318759
UJI-Library-25M,55,1.0,5.090778671897889
