dataset,seed,outage_fraction,bias_sd_db,method,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m
UJIIndoorLoc,11,0.1,4.0,RC-Direct,1111.0,14.901820182800293,8.599547386169434,25.157861709594727,15.069830417633057,31.328506469726562,56.800479888916016,0.1116111611161116
UJIIndoorLoc,11,0.1,4.0,RC-Loc,1111.0,14.348669265603721,8.042850784392652,25.006732977683843,14.362479251775543,30.020763082552232,58.74166171437854,0.1629162916291629
UJIIndoorLoc,11,0.1,8.0,PCA-WKNN,1111.0,28.985087948167703,8.50659393543907,53.21715563890543,22.426929673397858,113.5056933448414,144.60583830559546,0.19801980198019803
UJIIndoorLoc,11,0.1,8.0,AaT-base-reimpl,1111.0,15.971424102783203,9.58974552154541,25.267913818359375,17.457843780517578,36.72317123413086,58.94870948791504,0.1188118811881188
UJIIndoorLoc,11,0.1,8.0,RC-Direct,1111.0,15.869476318359375,9.005979537963867,26.686613082885742,16.156064987182617,34.25835037231445,60.04421043395996,0.09900990099009901
UJIIndoorLoc,11,0.1,8.0,RC-Loc,1111.0,15.13103484051409,8.372863365512337,26.414290196340023,14.838326048666943,33.84305819429695,62.235696726616034,0.15751575157515751
UJIIndoorLoc,11,0.2,0.0,PCA-WKNN,1111.0,69.09623155685362,24.618774406496915,102.78097305625016,131.13758019134482,198.48314136132015,226.00004323359764,0.08640864086408641
UJIIndoorLoc,11,0.2,0.0,AaT-base-reimpl,1111.0,31.09319496154785,17.789854049682617,48.665531158447266,38.20501708984375,73.64662170410156,103.54414749145508,0.0405040504050405
UJIIndoorLoc,11,0.2,0.0,RC-Direct,1111.0,23.452850341796875,12.606951713562012,37.62248229980469,26.372105598449707,61.04219055175781,86.60547637939453,0.0702070207020702
UJIIndoorLoc,11,0.2,0.0,RC-Loc,1111.0,22.837857673447054,11.546091279350728,37.72076048903964,24.771968053081828,63.90013869681451,87.60302939487576,0.10801080108010801
UJIIndoorLoc,11,0.2,4.0,PCA-WKNN,1111.0,69.09219173625151,25.478213703369693,102.64084854307858,130.41407168971705,198.48311856512842,226.4429778559416,0.09090909090909091
UJIIndoorLoc,11,0.2,4.0,AaT-base-reimpl,1111.0,31.097265243530273,18.073476791381836,48.68483352661133,38.00962257385254,74.66644287109375,103.62130737304688,0.0423042304230423
UJIIndoorLoc,11,0.2,4.0,RC-Direct,1111.0,23.449901580810547,12.539328575134277,37.79369354248047,26.28175449371338,59.618797302246094,86.77935409545898,0.0675067506750675
UJIIndoorLoc,11,0.2,4.0,RC-Loc,1111.0,22.7871870358261,11.720686784494127,37.81856071827382,24.85477694257068,59.90217488317627,87.38226806515704,0.11701170117011701
UJIIndoorLoc,11,0.2,8.0,PCA-WKNN,1111.0,72.63222535904083,26.98756239533311,106.72604821359302,139.3412054299833,203.0540307100538,227.9339958457421,0.08370837083708371
UJIIndoorLoc,11,0.2,8.0,AaT-base-reimpl,1111.0,31.90986442565918,18.698915481567383,49.60361099243164,39.69176483154297,76.53630828857422,104.56337356567383,0.0387038703870387
UJIIndoorLoc,11,0.2,8.0,RC-Direct,1111.0,23.78516387939453,12.819206237792969,38.46104049682617,26.20722198486328,59.618797302246094,86.27563095092773,0.06570657065706571
UJIIndoorLoc,11,0.2,8.0,RC-Loc,1111.0,23.171353253645993,11.790718870806293,38.54088917304441,25.393542671860278,59.84812895288943,86.63708067448242,0.09720972097209721
UJIIndoorLoc,11,0.3,0.0,PCA-WKNN,1111.0,107.8141110834895,98.67310125515507,138.85868146064544,190.51050580422162,237.9643354148671,246.20055202561272,0.034203420342034205
UJIIndoorLoc,11,0.3,0.0,AaT-base-reimpl,1111.0,50.59766387939453,29.73370933532715,76.98871612548828,59.32838821411133,113.798828125,204.44979095458984,0.016201620162016202
UJIIndoorLoc,11,0.3,0.0,RC-Direct,1111.0,29.91693115234375,16.500062942504883,47.4631233215332,35.28280067443848,72.16681671142578,111.14199447631836,0.04590459045904591
UJIIndoorLoc,11,0.3,0.0,RC-Loc,1111.0,29.469057382689186,16.124994743166393,47.41034579754652,34.351242267706,72.16681997166914,109.5586484430543,0.06480648064806481
UJIIndoorLoc,11,0.3,4.0,PCA-WKNN,1111.0,107.50912768978571,97.9464589466851,138.737610082064,191.96361488778615,237.9643354148671,248.00302869606037,0.0315031503150315
UJIIndoorLoc,11,0.3,4.0,AaT-base-reimpl,1111.0,49.78145217895508,29.036104202270508,75.58749389648438,58.483816146850586,106.84720611572266,200.95712280273438,0.017101710171017102
UJIIndoorLoc,11,0.3,4.0,RC-Direct,1111.0,29.62186050415039,16.5294246673584,46.87729263305664,35.41847038269043,71.61970520019531,108.52042007446289,0.05130513051305131
UJIIndoorLoc,11,0.3,4.0,RC-Loc,1111.0,29.251796510411154,15.874735426551238,46.82869582272607,34.56939176588412,72.27325332052382,108.13597168130943,0.06840684068406841
UJIIndoorLoc,11,0.3,8.0,PCA-WKNN,1111.0,107.61392164235671,98.29444135225208,139.1741223167476,192.39884995799787,238.01420929215922,248.6689080646673,0.0333033303330333
UJIIndoorLoc,11,0.3,8.0,AaT-base-reimpl,1111.0,50.704498291015625,29.054317474365234,76.76541900634766,60.42063522338867,110.1087646484375,202.54156494140625,0.0153015301530153
UJIIndoorLoc,11,0.3,8.0,RC-Direct,1111.0,30.467885971069336,16.90877914428711,48.19942092895508,36.176034927368164,74.14897918701172,110.10398483276367,0.046804680468046804
UJIIndoorLoc,11,0.3,8.0,RC-Loc,1111.0,30.11084030500639,16.289154265821374,48.559351479424976,35.60874450649414,74.20956225415553,110.843939562075,0.0666066606660666
UJIIndoorLoc,22,0.0,0.0,PCA-WKNN,1111.0,9.261198729450015,5.80191569011487,16.546427044424053,11.076487661699495,18.7458267838832,25.80557545354679,0.24842484248424843
UJIIndoorLoc,22,0.0,0.0,AaT-base-reimpl,1111.0,9.067352294921875,7.009778022766113,12.044938087463379,11.515873908996582,17.366405487060547,22.339275360107422,0.16831683168316833
UJIIndoorLoc,22,0.0,0.0,RC-Direct,1111.0,8.46802043914795,6.54831075668335,11.304533958435059,10.718486785888672,16.741134643554688,22.228184700012207,0.18361836183618363
UJIIndoorLoc,22,0.0,0.0,RC-Loc,1111.0,8.203124955456616,6.260303104182031,11.098572736116129,10.39295951661719,16.589343963399727,22.074561898236368,0.20882088208820881
UJIIndoorLoc,22,0.0,4.0,PCA-WKNN,1111.0,9.28217682271308,6.032994547841531,17.2284699917024,10.853679958046722,18.709292204824045,25.589156564372885,0.24662466246624662
UJIIndoorLoc,22,0.0,4.0,AaT-base-reimpl,1111.0,9.198101997375488,7.131680965423584,12.215873718261719,11.905941009521484,17.825958251953125,22.485910415649414,0.171017101710171
