dataset,scenario,method,n_seeds,mean_error_mean_m,mean_error_std_m,p90_mean_m,p90_std_m,p95_mean_m,p95_std_m
UTSIndoorLoc,persistent_ap_bias_sd=8dB,RC-Loc,5,7.005953438546674,0.1228137938571841,11.90518161392232,0.3268369248920492,15.042650680150595,0.4165653702351348
UTSIndoorLoc,top_ap_outage=0.10,AaT-base-reimpl,5,9.057054328918458,0.20853455903952103,17.922559051513673,0.5274640354991665,22.71334836959837,0.5874874080213671
UTSIndoorLoc,top_ap_outage=0.10,PCA-WKNN,5,13.58865224438858,2.2863024773322436,29.538267929793527,7.641688686629759,37.567620472198804,11.464001943711656
UTSIndoorLoc,top_ap_outage=0.10,RC-Direct,5,8.134188556671143,0.24788371303014267,15.159376735687257,0.26592770893242307,19.237502651214594,0.47907917804513594
UTSIndoorLoc,top_ap_outage=0.10,RC-Loc,5,8.101337749162997,0.27051207011712447,15.286016820798801,0.1977630903553692,19.126814357734826,0.5639607279688388
UTSIndoorLoc,top_ap_outage=0.20,AaT-base-reimpl,5,11.148198890686036,0.21037683966700074,21.41060340881348,1.0464314840081617,27.338358364105222,0.9247050703656522
UTSIndoorLoc,top_ap_outage=0.20,PCA-WKNN,5,20.455861084917824,3.8075779888803734,45.99789313327234,12.373044655401632,53.163545820365506,12.038054463904007
UTSIndoorLoc,top_ap_outage=0.20,RC-Direct,5,10.322647666931152,0.4882087164462006,20.592935791015627,1.736344558319636,27.164579200744623,3.3759077418385
UTSIndoorLoc,top_ap_outage=0.20,RC-Loc,5,10.31180902347269,0.5567003436362887,20.50019434028004,1.8462471174870894,27.49622588729226,4.081164981076161
UTSIndoorLoc,top_ap_outage=0.20+bias_sd=4dB,AaT-base-reimpl,5,11.276974868774413,0.30490613719746806,21.737563209533697,0.8217019448336442,27.858733215332023,1.1348055545393188
UTSIndoorLoc,top_ap_outage=0.20+bias_sd=4dB,PCA-WKNN,5,20.295679246088554,3.9912068519377044,45.90008697317918,12.387797226388132,52.08039048431385,12.878019270617532
UTSIndoorLoc,top_ap_outage=0.20+bias_sd=4dB,RC-Direct,5,10.420842552185059,0.497649529116374,20.665418624877933,1.8196001808008742,28.013232288360587,3.720436284131196
UTSIndoorLoc,top_ap_outage=0.20+bias_sd=4dB,RC-Loc,5,10.387077553783538,0.573056552468519,20.61494000074492,2.080691729148901,28.523485912938884,3.9523527843628043
UTSIndoorLoc,top_ap_outage=0.30,AaT-base-reimpl,5,12.559451675415039,0.2590557692191469,23.63896869659424,1.2842640855166512,30.23978452682494,1.9122646899410145
UTSIndoorLoc,top_ap_outage=0.30,PCA-WKNN,5,25.350380617135905,6.048214149577312,50.68226926446402,13.371196570291728,56.73925944957333,11.58712585518532
UTSIndoorLoc,top_ap_outage=0.30,RC-Direct,5,12.168193817138672,0.6760506494217654,23.966230621337893,1.6471926979283793,30.83765420913695,3.280005350034756
UTSIndoorLoc,top_ap_outage=0.30,RC-Loc,5,12.028204316133756,0.7506537889349226,23.41332932062677,1.822751398375522,29.55814222513815,4.213481795212987
