dataset,seed,method,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,floor_accuracy,floor_unknown_fraction,building_accuracy,building_unknown_fraction,train_seconds,latency_ms_per_sample,best_epoch
UTSIndoorLoc,33,RC-Loc,"drop=0.2,noise=0",388.0,7.165404698894295,6.132679668882602,8.866213458250762,9.128305746999999,11.691850850646125,16.848151826897492,0.17783505154639176,,,,,77.40425350004807,0.1530438144307238,107
UTSIndoorLoc,33,RC-Loc,"drop=0.4,noise=0",388.0,7.6350809153283645,6.6081543017181055,9.512996304671994,9.829111480949312,13.608330360545729,17.340198369341877,0.16494845360824742,,,,,77.40425350004807,0.1530438144307238,107
UTSIndoorLoc,33,RC-Loc,"drop=0.6,noise=0",388.0,8.937791303897324,7.596815134487043,11.050608308026806,11.55022643564778,17.871204425272794,20.818985082637074,0.15463917525773196,,,,,77.40425350004807,0.1530438144307238,107
UTSIndoorLoc,33,RC-Loc,"drop=0.2,noise=2",388.0,7.143765869951014,6.170041788304682,8.835748057907592,9.027169716561316,11.985405872924852,16.769816798250506,0.17525773195876287,,,,,77.40425350004807,0.1530438144307238,107
UTSIndoorLoc,33,RC-Loc,"drop=0.2,noise=4",388.0,7.164614639012957,6.206166456914088,8.867024210064704,9.070140503490258,12.198840510987587,16.659680097345156,0.18298969072164947,,,,,77.40425350004807,0.1530438144307238,107
UTSIndoorLoc,33,RC-Loc,"drop=0.2,noise=6",388.0,7.181815547775358,6.268208875033816,8.881581044586007,9.15644644139845,12.295946243185888,16.735569259330997,0.18814432989690721,,,,,77.40425350004807,0.1530438144307238,107
UTSIndoorLoc,44,RC-Loc,clean,388.0,6.7584696469153105,5.83023557988058,8.411585111366884,8.89909649360731,11.774627820915773,14.848939258784716,0.20103092783505155,0.9458762886597938,0.0,1.0,0.0,77.0642305999063,0.14233247427385032,107
UTSIndoorLoc,44,RC-Direct,clean,388.0,6.801982879638672,6.018594741821289,8.462613105773926,8.872587442398071,11.572366333007812,14.540241050720214,0.211340206185567,0.9458762886597938,0.0,1.0,0.0,77.0642305999063,0.14233247427385032,107
UTSIndoorLoc,44,RC-Loc,"drop=0.2,noise=0",388.0,7.329586620602476,6.354256633367692,9.135924889021723,9.374276012368775,12.406029256579316,15.56284826162947,0.17783505154639176,,,,,77.0642305999063,0.14233247427385032,107
UTSIndoorLoc,44,RC-Loc,"drop=0.4,noise=0",388.0,7.938952988245296,7.035728139923767,9.861817295878355,10.354878037062136,13.73168669835797,17.503354752879837,0.15721649484536082,,,,,77.0642305999063,0.14233247427385032,107
UTSIndoorLoc,44,RC-Loc,"drop=0.6,noise=0",388.0,8.814968160761302,7.119094031156017,11.001624256336648,11.753912959385799,16.807596576121934,20.86074469487309,0.14948453608247422,,,,,77.0642305999063,0.14233247427385032,107
UTSIndoorLoc,44,RC-Loc,"drop=0.2,noise=2",388.0,7.316876882089359,6.429437427263457,9.135407660891294,9.449989178622308,12.55823698068422,16.014332875924048,0.19072164948453607,,,,,77.0642305999063,0.14233247427385032,107
UTSIndoorLoc,44,RC-Loc,"drop=0.2,noise=4",388.0,7.309982951861482,6.440350570176342,9.12502347223431,9.473540327475437,12.453352108228575,15.944769164413453,0.18814432989690721,,,,,77.0642305999063,0.14233247427385032,107
UTSIndoorLoc,44,RC-Loc,"drop=0.2,noise=6",388.0,7.316639155571759,6.389341664173486,9.131896986804543,9.540751301049657,12.815489511754311,16.46570749623799,0.19329896907216496,,,,,77.0642305999063,0.14233247427385032,107
UTSIndoorLoc,55,RC-Loc,clean,388.0,7.1935715677894,6.203158156399586,8.847383155590263,9.351265383699841,12.369251982444089,15.688868801010013,0.18041237113402062,0.9278350515463918,0.0,1.0,0.0,81.09866410004906,0.1271061854888253,116
UTSIndoorLoc,55,RC-Direct,clean,388.0,7.0950751304626465,6.122923851013184,8.789212226867676,9.290187358856201,12.346640872955323,15.899144983291619,0.18814432989690721,0.9278350515463918,0.0,1.0,0.0,81.09866410004906,0.1271061854888253,116
UTSIndoorLoc,55,RC-Loc,"drop=0.2,noise=0",388.0,7.340444689441032,6.578344379915599,9.038242636279861,9.663145038896104,12.591800883935404,15.746871562840873,0.1958762886597938,,,,,81.09866410004906,0.1271061854888253,116
UTSIndoorLoc,55,RC-Loc,"drop=0.4,noise=0",388.0,7.819809461787173,6.765508159327631,9.657649178776738,10.436409418562171,14.225945831782619,18.54600866076954,0.19329896907216496,,,,,81.09866410004906,0.1271061854888253,116
UTSIndoorLoc,55,RC-Loc,"drop=0.6,noise=0",388.0,9.355205827975286,8.057762928759736,11.391072575452874,12.196063129331069,17.175909279296775,22.796692312640264,0.11855670103092783,,,,,81.09866410004906,0.1271061854888253,116
UTSIndoorLoc,55,RC-Loc,"drop=0.2,noise=2",388.0,7.344189401792828,6.698088988551612,9.071142375596212,9.707055555251557,12.81165284345133,15.610992003866077,0.19329896907216496,,,,,81.09866410004906,0.1271061854888253,116
UTSIndoorLoc,55,RC-Loc,"drop=0.2,noise=4",388.0,7.349925967909621,6.67621452467577,9.096596894132496,9.686862599616859,12.898731781065232,15.48902030437158,0.2036082474226804,,,,,81.09866410004906,0.1271061854888253,116
UTSIndoorLoc,55,RC-Loc,"drop=0.2,noise=6",388.0,7.352049816159937,6.531676143143635,9.11891512992296,9.749929970044846,12.93390160659627,15.904480163692831,0.20618556701030927,,,,,81.09866410004906,0.1271061854888253,116
Tampere,11,RC-Loc,clean,982.0,6.95001148756946,6.320889939022937,8.08713514196308,9.82156559592797,12.750068729903038,14.079661536064112,0.1945010183299389,0.9134419551934827,0.0,1.0,0.0,4.652440099976957,0.03725193467469177,92
Tampere,11,RC-Direct,clean,982.0,7.094640731811523,6.434114456176758,8.284568786621094,10.025503873825073,13.151710319519042,14.645431995391844,0.20162932790224034,0.9134419551934827,0.0,1.0,0.0,4.652440099976957,0.03725193467469177,92
Tampere,22,RC-Loc,clean,982.0,7.036752322151911,6.382389115293092,8.201431400004855,9.805895363356946,12.863106490505205,14.941509396493453,0.19653767820773932,0.9185336048879837,0.0,1.0,0.0,3.89810029999353,0.037330244487633286,70
Tampere,22,RC-Direct,clean,982.0,7.042200088500977,6.299671649932861,8.235488891601562,9.679972887039185,13.202486801147458,15.339497947692868,0.1894093686354379,0.9185336048879837,0.0,1.0,0.0,3.89810029999353,0.037330244487633286,70
Tampere,33,RC-Loc,clean,982.0,7.074607460187451,6.463873316170684,8.304920542579518,10.011457991488468,13.133424998254139,15.002668057070464,0.20366598778004075,0.9215885947046843,0.0,1.0,0.0,4.217360700014979,0.035704989858775904,83
Tampere,33,RC-Direct,clean,982.0,7.292588710784912,6.5138258934021,8.497994422912598,10.409956932067871,13.616537761688228,15.183943557739255,0.1924643584521385,0.9215885947046843,0.0,1.0,0.0,4.217360700014979,0.035704989858775904,83
